Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_4u7_0805","0805-cap",117.656000,-122.074000,270.000000,top
"C2","C_4u7_0805","0805-cap",118.994000,-103.894000,270.000000,top
"C3","C_4u7_0805","0805-cap",187.878000,-121.590000,90.000000,top
"C4","C_1u_0603","0603-cap",109.956000,-122.224000,90.000000,top
"C5","C_1u_0603","0603-cap",111.267797,-104.040280,90.000000,top
"C6","C_1u_0603","0603-cap",180.728000,-121.940000,90.000000,top
"C7","C_1u_0603","0603-cap",190.965000,-114.374281,0.000000,top
"C8","C_1u_0603","0603-cap",190.945000,-112.597854,0.000000,top
"C9","C_100n_0402_6V3","0402-cap",184.362176,-117.784000,270.000000,top
"C10","C_1u_0603","0603-cap",190.965000,-109.045000,0.000000,top
"C12","C_1u_0603","0603-cap",177.020000,-116.819738,90.000000,top
"C13","C_1u_0603","0603-cap",177.020000,-109.860000,90.000000,top
"C14","C_100n_0402_6V3","0402-cap",179.293525,-117.039738,90.000000,top
"C15","C_100n_0402_6V3","0402-cap",179.293525,-110.050000,90.000000,top
"C16","C_100n_0402_6V3","0402-cap",187.268724,-117.784000,270.000000,top
"C17","C_100n_0402_6V3","0402-cap",185.815450,-117.784000,270.000000,top
"C18","C_1u_0603","0603-cap",178.450000,-113.375000,90.000000,top
"C19","C_1u_0603","0603-cap",190.965000,-116.150710,0.000000,top
"C20","C_100n_0402_6V3","0402-cap",179.725000,-113.500000,90.000000,top
"C21","C_1u_0603","0603-cap",190.935000,-110.821427,0.000000,top
"C22","C_1u_0603","0603-cap",121.025000,-114.125000,0.000000,top
"C23","C_100n_0402_6V3","0402-cap",114.858800,-117.780000,270.000000,top
"C24","C_1u_0603","0603-cap",121.100000,-112.550000,0.000000,top
"C25","C_1u_0603","0603-cap",122.400000,-109.020000,0.000000,top
"C27","C_1u_0603","0603-cap",106.970000,-117.940000,90.000000,top
"C28","C_1u_0603","0603-cap",106.475000,-110.025000,0.000000,top
"C29","C_100n_0402_6V3","0402-cap",109.150000,-118.160000,90.000000,top
"C30","C_100n_0402_6V3","0402-cap",109.150000,-111.130000,90.000000,top
"C31","C_100n_0402_6V3","0402-cap",117.703600,-117.780000,270.000000,top
"C32","C_100n_0402_6V3","0402-cap",116.281200,-117.780000,270.000000,top
"C33","C_1u_0603","0603-cap",185.570000,-107.442000,180.000000,top
"C34","C_1u_0603","0603-cap",110.490000,-106.680000,180.000000,top
"C35","C_1u_0603","0603-cap",119.650000,-108.560000,0.000000,top
"C36","C_1u_0603","0603-cap",106.950000,-115.400000,90.000000,top
"C37","C_100n_0402_6V3","0402-cap",109.150000,-114.640000,90.000000,top
"C38","C_1u_0603","0603-cap",121.100000,-111.075000,0.000000,top
"IC1","TLV73328PDBVT","SOT-23-5",114.006000,-121.974000,90.000000,top
"IC2","TLV73318PDBVT","SOT-23-5",114.867797,-103.790280,90.000000,top
"IC3","TLV73312PDBVT","SOT-23-5",184.028000,-121.690000,90.000000,top
"J3","WE_68715014522","WE_68715014522",150.000000,-120.000000,180.000000,top
"L1","MLP2012S3R3MT","0805-res",173.320000,-117.510000,0.000000,top
"L2","MLP2012S3R3MT","0805-res",173.050000,-110.250000,0.000000,top
"L3","MLP2012S3R3MT","0805-res",173.025000,-114.950000,0.000000,top
"L4","MLP2012S3R3MT","0805-res",103.610000,-117.750000,0.000000,top
"L5","MLP2012S3R3MT","0805-res",102.625000,-110.475000,0.000000,top
"L6","MLP2012S3R3MT","0805-res",103.610000,-115.130000,0.000000,top
"MP1","PCB_Spacer_M2","9774030243R",102.950000,-122.050000,0.000000,top
"MP2","PCB_Spacer_M2","9774030243R",196.950000,-103.050000,0.000000,top
"MP3","PCB_Spacer_M2","9774030243R",102.950000,-103.050000,0.000000,top
"MP4","PCB_Spacer_M2","9774030243R",196.950000,-122.050000,0.000000,top
"Q1","BSS138AKA","SOT-23-3",185.164900,-104.058000,0.000000,top
"R8","R_0R_0402","0402-res",173.956150,-107.054000,0.000000,top
"R9","R_0R_0402","0402-res",188.722000,-117.784000,90.000000,top
"R10","R_0R_0402","0402-res",182.908902,-117.784000,90.000000,top
"R11","R_0R_0402","0402-res",181.455628,-117.784000,270.000000,top
"R13","R_0R_0402","0402-res",119.126000,-117.780000,90.000000,top
"R14","R_0R_0402","0402-res",113.436400,-117.780000,90.000000,top
"R15","R_0R_0402","0402-res",112.014000,-117.780000,270.000000,top
"R17","R_0R_0402","0402-res",104.112000,-107.282000,0.000000,top
"R18","R_10k_0402","0402-res",181.356000,-104.648000,270.000000,top
"R19","R_2k_0402","0402-res",188.486000,-104.858000,270.000000,top
"R21","R_0R_0402","0402-res",109.052500,-108.186000,0.000000,top
"U3","NTS0104BQ","QDHVQFN14",128.360000,-111.250000,0.000000,top
"U4","NTB0104BQ","QDHVQFN14",168.302500,-111.786000,180.000000,top
"Y1","7C-24.000MBB-T","7C-24.000MBB-T",185.072500,-112.286000,180.000000,top
"Y2","7C-24.000MBB-T","7C-24.000MBB-T",115.060000,-112.310000,180.000000,top
